# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
134.97	196.315	134.505	195.85	135.435	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
124.97	246.315	124.505	245.85	125.435	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
124.97	236.315	124.505	235.85	125.435	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
124.97	226.315	124.505	225.85	125.435	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
124.97	216.315	124.505	215.85	125.435	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
124.97	206.315	124.505	205.85	125.435	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
124.97	196.315	124.505	195.85	125.435	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
190.83	246.315	190.69	245.85	190.97	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
190.83	236.315	190.69	235.85	190.97	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
190.83	226.315	190.69	225.85	190.97	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
190.83	216.315	190.69	215.85	190.97	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
190.83	206.315	190.69	205.85	190.97	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
190.83	196.315	190.69	195.85	190.97	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
186.35	246.315	186.21	245.85	186.49	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
186.35	236.315	186.21	235.85	186.49	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
186.35	226.315	186.21	225.85	186.49	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
186.35	216.315	186.21	215.85	186.49	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
186.35	206.315	186.21	205.85	186.49	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
186.35	196.315	186.21	195.85	186.49	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
181.87	246.315	181.73	245.85	182.01	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
181.87	236.315	181.73	235.85	182.01	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
181.87	226.315	181.73	225.85	182.01	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
181.87	216.315	181.73	215.85	182.01	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
