u	v	kind	res_ohm
311	332	y	3.113737108e-02
312	313	x	9.205319961e-03
312	333	y	3.113737108e-02
313	314	x	9.205319961e-03
313	334	y	3.113737108e-02
314	335	y	3.113737108e-02
315	316	x	9.205319961e-03
315	336	y	3.113737108e-02
316	317	x	9.205319961e-03
316	337	y	3.113737108e-02
317	318	x	9.205319961e-03
317	338	y	3.113737108e-02
318	319	x	9.205319961e-03
318	339	y	3.113737108e-02
319	320	x	9.205319961e-03
319	340	y	3.113737108e-02
320	321	x	9.205319961e-03
320	341	y	3.113737108e-02
321	322	x	9.205319961e-03
321	342	y	3.113737108e-02
322	323	x	9.205319961e-03
322	343	y	3.113737108e-02
323	324	x	9.205319961e-03
323	344	y	3.113737108e-02
324	325	x	9.205319961e-03
324	345	y	3.113737108e-02
325	326	x	9.205319961e-03
325	346	y	3.113737108e-02
326	327	x	9.205319961e-03
326	347	y	3.113737108e-02
327	328	x	9.205319961e-03
327	348	y	3.113737108e-02
328	329	x	9.205319961e-03
328	349	y	3.113737108e-02
329	330	x	9.205319961e-03
329	350	y	3.113737108e-02
330	331	x	9.205319961e-03
330	351	y	3.113737108e-02
331	332	x	9.205319961e-03
331	352	y	3.113737108e-02
332	333	x	9.205319961e-03
332	353	y	3.113737108e-02
333	334	x	9.205319961e-03
333	354	y	3.113737108e-02
334	335	x	9.205319961e-03
334	355	y	3.113737108e-02
335	356	y	3.113737108e-02
336	337	x	9.205319961e-03
336	357	y	3.113737108e-02
337	338	x	9.205319961e-03
337	358	y	3.113737108e-02
338	339	x	9.205319961e-03
338	359	y	3.113737108e-02
339	340	x	9.205319961e-03
339	360	y	3.113737108e-02
340	341	x	9.205319961e-03
340	361	y	3.113737108e-02
341	342	x	9.205319961e-03
341	362	y	3.113737108e-02
342	343	x	9.205319961e-03
342	363	y	3.113737108e-02
343	344	x	9.205319961e-03
343	364	y	3.113737108e-02
344	345	x	9.205319961e-03
344	365	y	3.113737108e-02
345	346	x	9.205319961e-03
345	366	y	3.113737108e-02
346	347	x	9.205319961e-03
346	367	y	3.113737108e-02
347	348	x	9.205319961e-03
347	368	y	3.113737108e-02
348	349	x	9.205319961e-03
348	369	y	3.113737108e-02
349	350	x	9.205319961e-03
349	370	y	3.113737108e-02
350	351	x	9.205319961e-03
350	371	y	3.113737108e-02
351	352	x	9.205319961e-03
351	372	y	3.113737108e-02
352	353	x	9.205319961e-03
352	373	y	3.113737108e-02
353	354	x	9.205319961e-03
353	374	y	3.113737108e-02
354	355	x	9.205319961e-03
354	375	y	3.113737108e-02
355	356	x	9.205319961e-03
355	376	y	3.113737108e-02
356	377	y	3.113737108e-02
357	358	x	9.205319961e-03
357	378	y	3.113737108e-02
358	359	x	9.205319961e-03
358	379	y	3.113737108e-02
359	360	x	9.205319961e-03
359	380	y	3.113737108e-02
