cluster_id	name	llx_um	lly_um	urx_um	ury_um	observed_a	worst_a	mesh_sum_a	instance_count
47	gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].mem_bank	49.264000	907.799500	49.264500	907.800000	1.918181818e-06	1.918181818e-06	9.014012303e-13	1
43	gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].mem_bank	57.183500	333.200500	57.184000	333.201000	1.900000000e-06	1.900000000e-06	8.928571428e-13	1
39	gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].mem_bank	882.449500	168.800000	882.450000	168.800500	1.918181818e-06	1.918181818e-06	9.014012303e-13	1
37	gen_tiles\[0\].i_tile/i_tile/gen_cores\[0\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].i_address_scrambler	345.881000	386.230000	500.891000	1076.600000	1.021604213e-02	1.021604213e-02	3.291850924e-01	17662
34	gen_tiles\[0\].i_tile/i_tile/gen_cores\[3\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].i_address_scrambler	500.891000	770.295000	882.449000	1076.600000	9.402007009e-03	9.402007009e-03	3.159644449e-01	17663
35	gen_tiles\[0\].i_tile/i_tile/gen_cores\[2\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].i_address_scrambler	554.150000	517.214500	843.220500	770.295000	9.056643936e-03	9.056643936e-03	1.785571405e-01	17744
36	gen_tiles\[0\].i_tile/i_tile/gen_cores\[1\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].i_address_scrambler	417.811000	0.000000	882.449000	157.385500	8.843482127e-03	8.843482127e-03	1.809497163e-01	17787
28	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_master_resp_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_master_resp_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_master_resp_register	0.000000	333.200500	98.660000	378.985000	1.061762727e-03	1.061762727e-03	3.821337129e-03	453
27	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_slave_req_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_slave_req_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_slave_req_register	654.603500	330.177500	742.758000	373.531500	1.923511545e-03	1.923511545e-03	5.640493604e-03	618
30	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_slave_resp_register	195.800000	212.930000	461.093000	268.123500	3.390582455e-04	3.390582455e-04	3.548250867e-03	213
