key	value
design	mempool_group
core_llx_um	10
core_lly_um	12
core_urx_um	1090
core_ury_um	1090
vdd	1.0
grid_pitch_um	56.0
pad_r_ohm	0.01
grid_intv	1
rows	21
cols	21
dx_um	54.0
dy_um	53.9
rx_ohm	0.009205319961321673
ry_ohm	0.031137371081923545
obs_layer	metal4
iters	69
resid	6.887117034670451e-06
min_v	0.9969766254502599
max_v	0.9996703823254851
