name	rank	dir	pitch_um	width_um	r_ohm_per_um	virt_edge_r_ohm
metal4	4	V	56.000000	0.480000	1.473970000e-03	3.814327030e-01
metal5	5	H	10.000000	0.930000	1.490650000e-03	3.387153581e-02
metal6	6	V	10.000000	0.930000	1.502650000e-03	3.344984852e-02
metal7	7	H	30.000000	1.400000	2.640820000e-04	1.242738824e-02
metal8	8	V	40.000000	1.400000	1.892960000e-04	1.162741242e-02
metal9	9	H	40.000000	1.400000	3.428600000e-05	2.109907692e-03
