u	v	kind	res_ohm
435	463	y	8.437333742e-03
436	437	x	1.712489669e-03
436	464	y	8.437333742e-03
437	438	x	1.712489669e-03
437	465	y	8.437333742e-03
438	439	x	1.712489669e-03
438	466	y	8.437333742e-03
439	440	x	1.712489669e-03
439	467	y	8.437333742e-03
440	441	x	1.712489669e-03
440	468	y	8.437333742e-03
441	442	x	1.712489669e-03
441	469	y	8.437333742e-03
442	443	x	1.712489669e-03
442	470	y	8.437333742e-03
443	444	x	1.712489669e-03
443	471	y	8.437333742e-03
444	445	x	1.712489669e-03
444	472	y	8.437333742e-03
445	446	x	1.712489669e-03
445	473	y	8.437333742e-03
446	447	x	1.712489669e-03
446	474	y	8.437333742e-03
447	475	y	8.437333742e-03
448	449	x	1.712489669e-03
448	476	y	8.437333742e-03
449	450	x	1.712489669e-03
449	477	y	8.437333742e-03
450	451	x	1.712489669e-03
450	478	y	8.437333742e-03
451	452	x	1.712489669e-03
451	479	y	8.437333742e-03
452	453	x	1.712489669e-03
452	480	y	8.437333742e-03
453	454	x	1.712489669e-03
453	481	y	8.437333742e-03
454	455	x	1.712489669e-03
454	482	y	8.437333742e-03
455	456	x	1.712489669e-03
455	483	y	8.437333742e-03
456	457	x	1.712489669e-03
456	484	y	8.437333742e-03
457	458	x	1.712489669e-03
457	485	y	8.437333742e-03
458	459	x	1.712489669e-03
458	486	y	8.437333742e-03
459	460	x	1.712489669e-03
459	487	y	8.437333742e-03
460	461	x	1.712489669e-03
460	488	y	8.437333742e-03
461	462	x	1.712489669e-03
461	489	y	8.437333742e-03
462	463	x	1.712489669e-03
462	490	y	8.437333742e-03
463	464	x	1.712489669e-03
463	491	y	8.437333742e-03
464	465	x	1.712489669e-03
464	492	y	8.437333742e-03
465	466	x	1.712489669e-03
465	493	y	8.437333742e-03
466	467	x	1.712489669e-03
466	494	y	8.437333742e-03
467	468	x	1.712489669e-03
467	495	y	8.437333742e-03
468	469	x	1.712489669e-03
468	496	y	8.437333742e-03
469	470	x	1.712489669e-03
469	497	y	8.437333742e-03
470	471	x	1.712489669e-03
470	498	y	8.437333742e-03
