name	layer	llx_um	lly_um	urx_um	ury_um	total_current_a
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance0||gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance1||gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance2||gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance3	metal4	20.07	107.135	195.87	251.515	0.00672727
gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].i_tcdm_adapter	metal4	362.025	197.058	366.775	198.458	0.00223818
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_master_req_register	metal4	945.459	597.677	949.259	599.077	0.000272093
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank	metal4	990.99	265.1	991.37	266.5	1.9e-06
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache||gen_tiles\[0\].i_tile/i_tile/i_snitch_cache_axi_adapter||gen_tiles\[0\].i_tile/i_tile/i_axi_mux||gen_tiles\[0\].i_tile/i_tile/i_snitch_core_axi_adapter||gen_tiles\[0\].i_tile/i_tile/i_snitch_demux_data	metal4	202.988	655.293	212.298	656.692	0.0281471
gen_tiles\[0\].i_tile/i_tile/gen_cores\[2\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].i_address_scrambler	metal4	704.1	655.654	713.41	657.054	0.00905664
gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank	metal4	990.99	180.7	991.37	182.1	1.83636e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank	metal4	305.86	11.9005	306.24	13.3005	1.98182e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance	metal4	20.07	930.405	98.73	994.805	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_slave_resp_register	metal4	945.459	494.488	949.259	495.888	0.000488911
gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank/genblk1.sram_instance	metal4	1001.18	919.485	1079.84	983.885	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].i_tcdm_adapter	metal4	364.591	90.5925	369.341	91.9925	0.00228073
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank	metal4	1041.24	349.5	1041.62	350.9	1.91818e-06
gen_tiles\[0\].i_tile/i_tile/gen_cores\[1\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].i_address_scrambler	metal4	655.545	90.5925	664.855	91.9925	0.00884348
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance	metal4	1001.18	275.835	1079.84	340.235	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_master_req_register	metal4	939.949	945.458	943.749	946.858	0.000272093
gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].i_tcdm_adapter	metal4	287.572	348.76	292.322	350.159	0.00227375
gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].i_tcdm_adapter	metal4	800.684	357.553	805.434	358.952	0.00228598
gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].mem_bank	metal4	108.54	11.9	108.92	13.3	1.95455e-06
gen_tiles\[0\].i_tile/i_tile/i_local_resp_interco	metal4	565.543	305.052	570.293	306.452	0.00900437
gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].mem_bank	metal4	990.99	993.082	991.37	994.481	1.95455e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].i_tcdm_adapter	metal4	871.785	408.353	876.535	409.753	0.00223818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].mem_bank/genblk1.sram_instance	metal4	20.07	1014.83	98.73	1079.22	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].mem_bank	metal4	990.99	993.081	991.37	994.481	1.91818e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].mem_bank/genblk1.sram_instance	metal4	20.07	271.495	98.73	335.895	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].mem_bank/genblk1.sram_instance	metal4	1001.18	1014.83	1079.84	1079.22	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].i_tcdm_adapter	metal4	666.712	197.058	670.513	198.458	0.00216856
i_local_interco	metal4	435.844	371.671	436.414	373.072	3.22349e-05
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance	metal4	1001.18	191.415	1079.84	255.815	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].mem_bank	metal4	892.33	180.7	892.71	182.1	1.91818e-06
gen_tiles\[0\].i_tile/i_tile/gen_cores\[0\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].i_address_scrambler	metal4	428.801	743.315	438.111	744.715	0.010216
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_master_req_register	metal4	411.657	384.901	415.457	386.3	0.00025354
gen_tiles\[0\].i_tile/i_tile/i_remote_req_interco||(gen_tiles\[0\].i_tile/i_tile)_glue_logic	metal4	535.216	641.247	539.966	642.648	0.000272658
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_slave_resp_register	metal4	336.616	252.427	340.416	253.827	0.000339058
