node_a	layer_a	x_a_um	y_a_um	node_b	layer_b	x_b_um	y_b_um	g_siemens
83	metal1	656.07	22.4	8961	metal4	656.07	22.4	1e+12
84	metal1	712.07	22.4	8962	metal4	712.07	22.4	1e+12
85	metal1	768.07	22.4	8963	metal4	768.07	22.4	1e+12
86	metal1	824.07	22.4	8964	metal4	824.07	22.4	1e+12
87	metal1	880.07	22.4	8965	metal4	880.07	22.4	1e+12
88	metal1	936.07	22.4	8966	metal4	936.07	22.4	1e+12
89	metal1	992.07	22.4	8967	metal4	992.07	22.4	1e+12
90	metal1	1048.07	22.4	8968	metal4	1048.07	22.4	1e+12
91	metal1	1086.21	22.4	8969	metal4	1086.21	22.4	1e+12
92	metal1	14.095	25.2	8970	metal4	14.095	25.2	1e+12
93	metal1	40.07	25.2	8971	metal4	40.07	25.2	1e+12
94	metal1	96.07	25.2	8972	metal4	96.07	25.2	1e+12
95	metal1	108.455	25.2	8973	metal4	108.455	25.2	1e+12
96	metal1	109.295	25.2	8974	metal4	109.295	25.2	1e+12
97	metal1	152.07	25.2	8975	metal4	152.07	25.2	1e+12
98	metal1	208.07	25.2	8976	metal4	208.07	25.2	1e+12
99	metal1	264.07	25.2	8977	metal4	264.07	25.2	1e+12
100	metal1	320.07	25.2	8978	metal4	320.07	25.2	1e+12
101	metal1	376.07	25.2	8979	metal4	376.07	25.2	1e+12
102	metal1	432.07	25.2	8980	metal4	432.07	25.2	1e+12
103	metal1	488.07	25.2	8981	metal4	488.07	25.2	1e+12
104	metal1	544.07	25.2	8982	metal4	544.07	25.2	1e+12
105	metal1	600.07	25.2	8983	metal4	600.07	25.2	1e+12
106	metal1	656.07	25.2	8984	metal4	656.07	25.2	1e+12
107	metal1	712.07	25.2	8985	metal4	712.07	25.2	1e+12
108	metal1	768.07	25.2	8986	metal4	768.07	25.2	1e+12
109	metal1	824.07	25.2	8987	metal4	824.07	25.2	1e+12
110	metal1	880.07	25.2	8988	metal4	880.07	25.2	1e+12
111	metal1	936.07	25.2	8989	metal4	936.07	25.2	1e+12
112	metal1	992.07	25.2	8990	metal4	992.07	25.2	1e+12
113	metal1	1048.07	25.2	8991	metal4	1048.07	25.2	1e+12
114	metal1	1086.21	25.2	8992	metal4	1086.21	25.2	1e+12
115	metal1	14.095	28	8993	metal4	14.095	28	1e+12
116	metal1	40.07	28	8994	metal4	40.07	28	1e+12
117	metal1	96.07	28	8995	metal4	96.07	28	1e+12
118	metal1	108.455	28	8996	metal4	108.455	28	1e+12
119	metal1	109.295	28	8997	metal4	109.295	28	1e+12
120	metal1	152.07	28	8998	metal4	152.07	28	1e+12
121	metal1	208.07	28	8999	metal4	208.07	28	1e+12
122	metal1	264.07	28	9000	metal4	264.07	28	1e+12
123	metal1	320.07	28	9001	metal4	320.07	28	1e+12
124	metal1	376.07	28	9002	metal4	376.07	28	1e+12
125	metal1	432.07	28	9003	metal4	432.07	28	1e+12
126	metal1	488.07	28	9004	metal4	488.07	28	1e+12
127	metal1	544.07	28	9005	metal4	544.07	28	1e+12
