ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V
0	35	10	1062	0	0	0	1.1
1	35	66	1062	0	0.00141818	0.00141818	1.1
2	35	122	1062	0	0	0	1.1
3	35	178	1062	9.18489e-13	0.00141818	0.00141818	1.1
4	35	234	1062	0	0	0	1.1
5	35	290	1062	0	0	0	1.1
6	35	346	1062	0.00502897	0	0.00502897	1.1
7	35	402	1062	0.00602634	0	0.00602634	1.1
8	35	458	1062	0.00602634	0	0.00602634	1.1
9	35	514	1062	0.00917572	0	0.00917572	1.1
10	35	570	1062	0.00547842	0	0.00547842	1.1
11	35	626	1062	0.00547842	0	0.00547842	1.1
12	35	682	1062	0.00547842	0	0.00547842	1.1
13	35	738	1062	0.00547842	0	0.00547842	1.1
14	35	794	1062	0.00547842	0	0.00547842	1.1
15	35	850	1062	0.00547842	0	0.00547842	1.1
16	35	906	1062	0.00250199	0	0.00250199	1.1
17	35	962	1062	0	0.00141818	0.00141818	1.1
18	35	1018	1062	0	0.00141818	0.00141818	1.1
19	35	1074	1062	0	0	0	1.1
