cluster_id	cluster_name	instance_count	i_observed_A	i_worst_box_A	i_mesh_sum_A	vmin_tile_V
23	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_master_req_register	324	0.000272093	0.000272093	0.00163023	1.09842
29	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_master_req_register	324	0.000272093	0.000272093	0.00130907	1.09689
33	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_master_req_register	304	0.00025354	0.00025354	0.000756307	1.09564
32	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_master_resp_register	151	0.000188998	0.000188998	2.22146e-13	1.09891
31	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_slave_req_register	206	0.00013347	0.00013347	0.000266055	1.09639
73	i_local_interco	97	3.22349e-05	3.22349e-05	3.24675e-13	1.09578
72	(root)_glue_logic	112	9.32727e-06	9.32727e-06	4.28425e-14	1.1
69	gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank	1	1.98182e-06	1.98182e-06	0	nan
55	gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank	1	1.97273e-06	1.97273e-06	9.27033e-13	1.09929
53	gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank	1	1.95455e-06	1.95455e-06	9.18489e-13	1.1
41	gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].mem_bank	1	1.95455e-06	1.95455e-06	9.18489e-13	1.09946
49	gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].mem_bank	1	1.95455e-06	1.95455e-06	0	nan
45	gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].mem_bank	1	1.91818e-06	1.91818e-06	9.01401e-13	1.09946
51	gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank	1	1.91818e-06	1.91818e-06	9.01401e-13	1.09936
63	gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank	1	1.91818e-06	1.91818e-06	9.01401e-13	1.09951
47	gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].mem_bank	1	1.91818e-06	1.91818e-06	9.01401e-13	1.09929
67	gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank	1	1.91818e-06	1.91818e-06	9.01401e-13	1.09954
39	gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].mem_bank	1	1.91818e-06	1.91818e-06	9.01401e-13	1.0989
61	gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank	1	1.9e-06	1.9e-06	8.92857e-13	1.09946
65	gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank	1	1.9e-06	1.9e-06	8.92857e-13	1.09894
43	gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].mem_bank	1	1.9e-06	1.9e-06	8.92857e-13	1.09902
59	gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank	1	1.9e-06	1.9e-06	8.92857e-13	1.09969
57	gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank	1	1.83636e-06	1.83636e-06	8.62953e-13	1.09927
