net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	via	?	232.405	1023.56	233.335	1024.49	232.87	1024.025
VDD	POWER	via	?	222.405	1073.56	223.335	1074.49	222.87	1074.025
VDD	POWER	via	?	222.405	1063.56	223.335	1064.49	222.87	1064.025
VDD	POWER	via	?	222.405	1053.56	223.335	1054.49	222.87	1054.025
VDD	POWER	via	?	222.405	1043.56	223.335	1044.49	222.87	1044.025
VDD	POWER	via	?	222.405	1033.56	223.335	1034.49	222.87	1034.025
VDD	POWER	via	?	222.405	1023.56	223.335	1024.49	222.87	1024.025
VDD	POWER	via	?	287.97	1073.56	288.25	1074.49	288.11	1074.025
VDD	POWER	via	?	287.97	1063.56	288.25	1064.49	288.11	1064.025
VDD	POWER	via	?	287.97	1053.56	288.25	1054.49	288.11	1054.025
VDD	POWER	via	?	287.97	1043.56	288.25	1044.49	288.11	1044.025
VDD	POWER	via	?	287.97	1033.56	288.25	1034.49	288.11	1034.025
VDD	POWER	via	?	287.97	1023.56	288.25	1024.49	288.11	1024.025
VDD	POWER	via	?	283.49	1073.56	283.77	1074.49	283.63	1074.025
VDD	POWER	via	?	283.49	1063.56	283.77	1064.49	283.63	1064.025
VDD	POWER	via	?	283.49	1053.56	283.77	1054.49	283.63	1054.025
VDD	POWER	via	?	283.49	1043.56	283.77	1044.49	283.63	1044.025
VDD	POWER	via	?	283.49	1033.56	283.77	1034.49	283.63	1034.025
VDD	POWER	via	?	283.49	1023.56	283.77	1024.49	283.63	1024.025
VDD	POWER	via	?	279.01	1073.56	279.29	1074.49	279.15	1074.025
VDD	POWER	via	?	279.01	1063.56	279.29	1064.49	279.15	1064.025
VDD	POWER	via	?	279.01	1053.56	279.29	1054.49	279.15	1054.025
VDD	POWER	via	?	279.01	1043.56	279.29	1044.49	279.15	1044.025
VDD	POWER	via	?	279.01	1033.56	279.29	1034.49	279.15	1034.025
VDD	POWER	via	?	279.01	1023.56	279.29	1024.49	279.15	1024.025
VDD	POWER	via	?	274.53	1073.56	274.81	1074.49	274.67	1074.025
VDD	POWER	via	?	274.53	1063.56	274.81	1064.49	274.67	1064.025
VDD	POWER	via	?	274.53	1053.56	274.81	1054.49	274.67	1054.025
VDD	POWER	via	?	274.53	1043.56	274.81	1044.49	274.67	1044.025
VDD	POWER	via	?	274.53	1033.56	274.81	1034.49	274.67	1034.025
VDD	POWER	via	?	274.53	1023.56	274.81	1024.49	274.67	1024.025
VDD	POWER	via	?	270.05	1073.56	270.33	1074.49	270.19	1074.025
VDD	POWER	via	?	270.05	1063.56	270.33	1064.49	270.19	1064.025
VDD	POWER	via	?	270.05	1053.56	270.33	1054.49	270.19	1054.025
VDD	POWER	via	?	270.05	1043.56	270.33	1044.49	270.19	1044.025
VDD	POWER	via	?	270.05	1033.56	270.33	1034.49	270.19	1034.025
VDD	POWER	via	?	270.05	1023.56	270.33	1024.49	270.19	1024.025
VDD	POWER	via	?	265.57	1073.56	265.85	1074.49	265.71	1074.025
VDD	POWER	via	?	265.57	1063.56	265.85	1064.49	265.71	1064.025
VDD	POWER	via	?	265.57	1053.56	265.85	1054.49	265.71	1054.025
VDD	POWER	via	?	265.57	1043.56	265.85	1044.49	265.71	1044.025
VDD	POWER	via	?	265.57	1033.56	265.85	1034.49	265.71	1034.025
